1673    17056166    ASSAULT/BATTERY MISD.    9/17/17 0:00    37.861078, -122.289632
1680    17053028    ASSAULT/BATTERY MISD.    9/5/17 0:00    37.888089, -122.27635
1687    17042054    ROBBERY    7/19/17 0:00    37.86487, -122.267543
1718    17034487    ASSAULT/BATTERY MISD.    6/16/17 0:00    37.871828, -122.270516
1722    17035965    THEFT FROM PERSON    6/5/17 0:00    37.859988, -122.253339
1729    17041958    ASSAULT/BATTERY MISD.    7/19/17 0:00    37.858483, -122.253191
1735    17021265    GUN/WEAPON    4/17/17 0:00    37.866253, -122.299483
1742    17039854    GUN/WEAPON    7/9/17 0:00
1753    17050582    MISSING JUVENILE    8/25/17 0:00
1770    17041043    MISSING ADULT    7/15/17 0:00    37.868714, -122.259189
1771    17034470    THEFT FROM PERSON    6/15/17 0:00    37.862927, -122.258784
1782    17046499    ROBBERY    8/8/17 0:00    37.865134, -122.258331
1785    17043299    ASSAULT/BATTERY MISD.    7/25/17 0:00    37.871271, -122.295015
1788    17057558    ASSAULT/BATTERY MISD.    9/23/17 0:00    37.86456, -122.269954
1789    17045470    ASSAULT/BATTERY MISD.    8/4/17 0:00    37.865945, -122.250471
1796    17055279    MISSING ADULT    9/10/17 0:00    37.869363, -122.268028
1803    17022959    ASSAULT/BATTERY MISD.    4/25/17 0:00    37.869973, -122.270557
1808    17040334    ASSAULT/BATTERY MISD.    7/12/17 0:00    37.890977, -122.259745
1811    17018750    GUN/WEAPON    4/4/17 0:00
1846    17054027    GUN/WEAPON    9/8/17 0:00    37.87304, -122.289659
1850    17049657    MISSING ADULT    8/22/17 0:00    37.848152, -122.275807
1859    17025221    ASSAULT/BATTERY MISD.    5/5/17 0:00    37.861672, -122.255992
1861    17022000    ASSAULT/BATTERY MISD.    4/20/17 0:00    37.856111, -122.260248
1862    17032260    ASSAULT/BATTERY MISD.    6/5/17 0:00    37.869973, -122.270557
1868    17044539    ASSAULT/BATTERY MISD.    7/31/17 0:00    37.867871, -122.26565
1877    17055224    ASSAULT/BATTERY MISD.    9/13/17 0:00
1878    17027059    ASSAULT/BATTERY MISD.    5/13/17 0:00    37.848752, -122.271331
1888    17041616    ASSAULT/BATTERY MISD.    7/17/17 0:00    37.869973, -122.270557
1900    17028652    MISSING ADULT    5/20/17 0:00    37.848152, -122.275807
1901    17029105    ASSAULT/BATTERY MISD.    5/22/17 0:00    37.852155, -122.28661
1903    17034115    ASSAULT/BATTERY MISD.    6/5/17 0:00
1904    17023168    ASSAULT/BATTERY MISD.    4/26/17 0:00
1906    17027280    ASSAULT/BATTERY MISD.    5/14/17 0:00    37.869524, -122.27965
1914    17052097    ASSAULT/BATTERY MISD.    9/1/17 0:00    37.863611, -122.317566
1915    17051010    ROBBERY    8/28/17 0:00    37.869685, -122.272804
1931    17032941    ASSAULT/BATTERY MISD.    6/8/17 0:00    37.877951, -122.271395
1946    17020968    ASSAULT/BATTERY FEL.    4/15/17 0:00    37.870308, -122.26805
1962    17043658    MISSING ADULT    7/27/17 0:00    37.866037, -122.265618
1981    17049450    ASSAULT/BATTERY MISD.    8/21/17 0:00    37.871828, -122.270516
1992    17038783    ROBBERY    7/5/17 0:00    37.857787, -122.257013
2023    17034171    MISSING ADULT    6/11/17 0:00    37.868641, -122.29415
2027    17033639    GUN/WEAPON    6/11/17 0:00    37.855294, -122.292475
2044    17047987    ROBBERY    8/15/17 0:00    37.861511, -122.29681
2051    17020290    MISSING ADULT    4/12/17 0:00    37.876251, -122.262453
2054    17045903    MISSING JUVENILE    8/4/17 0:00    37.87304, -122.289659
2064    17026801    ASSAULT/BATTERY MISD.    5/12/17 0:00    37.880859, -122.287774
2075    17058383    GUN/WEAPON    9/27/17 0:00    37.868701, -122.252097
2095    17041529    ROBBERY    7/17/17 0:00    37.878912, -122.282959
2102    17024642    ASSAULT/BATTERY FEL.    5/2/17 0:00    37.864411, -122.290705
2103    17046358    MISSING ADULT    8/8/17 0:00    37.861265, -122.26698
2106    17047507    ASSAULT/BATTERY MISD.    8/13/17 0:00    37.871167, -122.268285
2114    17053651    ASSAULT/BATTERY MISD.    9/7/17 0:00    37.866919, -122.258812
2125    17027693    ASSAULT/BATTERY MISD.    5/16/17 0:00    37.858356, -122.253179
2135    17045496    ASSAULT/BATTERY FEL.    8/4/17 0:00    37.873426, -122.293614
2145    17053344    ROBBERY    9/6/17 0:00    37.863598, -122.253693
2149    17019898    ASSAULT/BATTERY MISD.    4/10/17 0:00    37.878407, -122.26914
2158    17056854    ROBBERY    9/20/17 0:00    37.868714, -122.259189
2166    17039030    ASSAULT/BATTERY MISD.    7/6/17 0:00
2180    17042349    ROBBERY    7/21/17 0:00    37.871689, -122.292898
2185    17042874    MISSING ADULT    7/21/17 0:00    37.8549, -122.27945
2190    17027571    ASSAULT/BATTERY MISD.    5/15/17 0:00    37.852946, -122.294515
2193    17044717    ASSAULT/BATTERY FEL.    4/15/17 0:00    37.870308, -122.26805
2195    17040914    ASSAULT/BATTERY MISD.    7/14/17 0:00    37.870948, -122.27733
2200    17049836    ASSAULT/BATTERY MISD.    8/23/17 0:00    37.868913, -122.28608
2205    17022281    ROBBERY    4/22/17 0:00    37.8792, -122.263044
2222    17046930    ROBBERY    8/10/17 0:00    37.866696, -122.274757
2223    17025877    ROBBERY    5/7/17 0:00    37.859102, -122.290163
2240    17058197    ASSAULT/BATTERY MISD.    9/26/17 0:00    37.867816, -122.258994
2241    17039927    ASSAULT/BATTERY MISD.    7/10/17 0:00    37.858079, -122.268016
2243    17018974    ASSAULT/BATTERY FEL.    4/5/17 0:00    37.877951, -122.271395
2247    17032171    ASSAULT/BATTERY MISD.    6/5/17 0:00    37.88015, -122.297446
2255    17043879    ROBBERY    7/15/17 0:00    37.869363, -122.268028
2256    17036599    GUN/WEAPON    6/25/17 0:00    37.86695, -122.286984
2272    17036855    MISSING ADULT    6/26/17 0:00    37.891368, -122.279257
2273    17051984    ASSAULT/BATTERY MISD.    9/1/17 0:00    37.891332, -122.279975
2279    17044052    ASSAULT/BATTERY FEL.    7/29/17 0:00    37.863611, -122.317566
2283    17045806    ROBBERY    8/5/17 0:00    37.869679, -122.288038
2287    17034152    MISSING ADULT    6/9/17 0:00    37.8819, -122.298197
2299    17030925    ROBBERY    5/30/17 0:00    37.887961, -122.269822
2300    17024963    MISSING ADULT    5/3/17 0:00    37.848152, -122.275807
2346    17032457    ASSAULT/BATTERY FEL.    6/6/17 0:00    37.866981, -122.302083
2349    17043614    ASSAULT/BATTERY MISD.    7/27/17 0:00    37.876594, -122.268956
2374    17052514    ROBBERY    9/2/17 0:00    37.865202, -122.257795
2377    17023427    ROBBERY    4/27/17 0:00    37.869057, -122.270463
2388    17029979    ASSAULT/BATTERY MISD.    5/26/17 0:00    37.859539, -122.259172
2394    17042830    ASSAULT/BATTERY MISD.    7/23/17 0:00    37.850345, -122.270911
2408    17029512    THEFT FROM PERSON    5/10/17 0:00
2431    17042808    ROBBERY    7/22/17 0:00    37.869363, -122.268028
2432    17034266    ASSAULT/BATTERY MISD.    6/14/17 0:00    37.881957, -122.269551
2441    17041942    ROBBERY    7/19/17 0:00    37.866935, -122.265772
2447    17018799    ROBBERY    4/4/17 0:00    37.863938, -122.253735
2451    17020925    ASSAULT/BATTERY MISD.    4/15/17 0:00
2455    17038408    ROBBERY    7/3/17 0:00    37.865134, -122.258331
2459    17041266    ROBBERY    7/16/17 0:00    37.867513, -122.26127
2462    17052967    ASSAULT/BATTERY MISD.    9/4/17 0:00    37.863053, -122.267321
2464    17048271    ROBBERY    8/16/17 0:00
2474    17045813    ASSAULT/BATTERY MISD.    8/5/17 0:00    37.870948, -122.27733
2477    17056667    MISSING ADULT    9/18/17 0:00    37.873343, -122.280086
2478    17040467    ROBBERY    7/12/17 0:00
2481    17035914    ASSAULT/BATTERY FEL.    6/22/17 0:00    37.877951, -122.271395
2508    17026743    ROBBERY    5/11/17 0:00    37.867717, -122.249901
2529    17054386    ASSAULT/BATTERY FEL.    9/10/17 0:00    37.867852, -122.258699
2542    17031666    ASSAULT/BATTERY FEL.    6/3/17 0:00    37.865121, -122.258455
2562    17051420    MISSING ADULT    8/29/17 0:00    37.864238, -122.265263
2569    17053303    GUN/WEAPON    9/6/17 0:00    37.866935, -122.265772
2571    17030615    ROBBERY    5/29/17 0:00    37.853576, -122.287202
2579    17026259    GUN/WEAPON    5/9/17 0:00    37.872468, -122.286902
2586    17055490    ASSAULT/BATTERY MISD.    9/14/17 0:00    37.868714, -122.259189
2587    17035596    ASSAULT/BATTERY FEL.    6/20/17 0:00    37.865121, -122.258455
2590    17021915    ASSAULT/BATTERY MISD.    4/20/17 0:00    37.866919, -122.258812
2592    17038462    MISSING ADULT    6/30/17 0:00
2596    17053933    ASSAULT/BATTERY MISD.    9/8/17 0:00    37.857437, -122.268263
2599    17042909    ASSAULT/BATTERY FEL.    7/23/17 0:00    37.854286, -122.271015
